Order ID	Product	Category	Unit Price	Quantity	Valor	Customer	Ship City	Ship Country	Order Date	Ano
10268	Thüringer Rostbratwurst	Meat/Poultry	99	10	990	GROSELLA-Restaurante	Caracas	Venezuela	30/jul/96	
10268	Mozzarella di Giovanni	Dairy Products	27,8	4	111,2	GROSELLA-Restaurante	Caracas	Venezuela	30/jul/96	
10269	Geitost	Dairy Products	2	60	120	White Clover Markets	Seattle	USA	31/jul/96	
10269	Mozzarella di Giovanni	Dairy Products	27,8	20	556	White Clover Markets	Seattle	USA	31/jul/96	
10270	Inlagd Sill	Seafood	15,2	30	456	Wartian Herkku	Oulu	Finland	1-Aug-96	
10270	Ipoh Coffee	Beverages	36,8	25	920	Wartian Herkku	Oulu	Finland	1-Aug-96	
10271	Geitost	Dairy Products	2	24	48	Split Rail Beer & Ale	Lander	USA	1-Aug-96	
10272	Gorgonzola Telino	Dairy Products	10	40	400	Rattlesnake Canyon Grocery	Albuquerque	USA	2-Aug-96	
10272	Sir Rodney's Marmalade	Confections	64,8	6	388,8	Rattlesnake Canyon Grocery	Albuquerque	USA	2-Aug-96	
10272	Mozzarella di Giovanni	Dairy Products	27,8	24	667,2	Rattlesnake Canyon Grocery	Albuquerque	USA	2-Aug-96	
10273	Ikura	Seafood	24,8	24	595,2	QUICK-Stop	Cunewalde	Germany	5-Aug-96	
10273	Gorgonzola Telino	Dairy Products	10	15	150	QUICK-Stop	Cunewalde	Germany	5-Aug-96	
10273	Geitost	Dairy Products	2	20	40	QUICK-Stop	Cunewalde	Germany	5-Aug-96	
10273	Boston Crab Meat	Seafood	14,7	60	882	QUICK-Stop	Cunewalde	Germany	5-Aug-96	
10273	Lakkalikööri	Beverages	14,4	33	475,2	QUICK-Stop	Cunewalde	Germany	5-Aug-96	
10274	Flotemysost	Dairy Products	17,2	20	344	Vins et alcools Chevalier	Reims	France	6-Aug-96	
10274	Mozzarella di Giovanni	Dairy Products	27,8	7	194,6	Vins et alcools Chevalier	Reims	France	6-Aug-96	
10275	Raclette Courdavault	Dairy Products	44	6	264	Magazzini Alimentari Riuniti	Bergamo	Italy	7-Aug-96	
10275	Guaraná Fantástica	Beverages	3,6	12	43,2	Magazzini Alimentari Riuniti	Bergamo	Italy	7-Aug-96	
10276	Ikura	Seafood	24,8	15	372	Tortuga Restaurante	México D.F.	Mexico	8-Aug-96	
10276	Konbu	Seafood	4,8	10	48	Tortuga Restaurante	México D.F.	Mexico	8-Aug-96	
10277	Rössle Sauerkraut	Produce	36,4	20	728	Morgenstern Gesundkost	Leipzig	Germany	9-Aug-96	
10277	Tarte au sucre	Confections	39,4	12	472,8	Morgenstern Gesundkost	Leipzig	Germany	9-Aug-96	
10278	Raclette Courdavault	Dairy Products	44	15	660	Berglunds snabbköp	Luleå	Sweden	12-Aug-96	
10278	Vegie-spread	Condiments	35,1	8	280,8	Berglunds snabbköp	Luleå	Sweden	12-Aug-96	
10278	Gula Malacca	Condiments	15,5	16	248	Berglunds snabbköp	Luleå	Sweden	12-Aug-96	
10278	Röd Kaviar	Seafood	12	25	300	Berglunds snabbköp	Luleå	Sweden	12-Aug-96	
10279	Alice Mutton	Meat/Poultry	31,2	15	468	Lehmanns Marktstand	Frankfurt a.M.	Germany	13-Aug-96	
10280	Guaraná Fantástica	Beverages	3,6	12	43,2	Berglunds snabbköp	Luleå	Sweden	14-Aug-96	
10280	Pâté chinois	Meat/Poultry	19,2	20	384	Berglunds snabbköp	Luleå	Sweden	14-Aug-96	
10280	Rhönbräu Klosterbier	Beverages	6,2	30	186	Berglunds snabbköp	Luleå	Sweden	14-Aug-96	
10281	Guaraná Fantástica	Beverages	3,6	6	21,6	Romero y tomillo	Madrid	Spain	14-Aug-96	
10281	Teatime Chocolate Biscuits	Confections	7,3	1	7,3	Romero y tomillo	Madrid	Spain	14-Aug-96	
10281	Steeleye Stout	Beverages	14,4	4	57,6	Romero y tomillo	Madrid	Spain	14-Aug-96	
10282	Nord-Ost Matjeshering	Seafood	20,7	6	124,2	Romero y tomillo	Madrid	Spain	15-Aug-96	
10282	Ravioli Angelo	Grains/Cereals	15,6	2	31,2	Romero y tomillo	Madrid	Spain	15-Aug-96	
10283	Camembert Pierrot	Dairy Products	27,2	35	952	LILA-Supermercado	Barquisimeto	Venezuela	16-Aug-96	
10283	Teatime Chocolate Biscuits	Confections	7,3	18	131,4	LILA-Supermercado	Barquisimeto	Venezuela	16-Aug-96	
10283	Genen Shouyu	Condiments	12,4	20	248	LILA-Supermercado	Barquisimeto	Venezuela	16-Aug-96	
10283	Mozzarella di Giovanni	Dairy Products	27,8	3	83,4	LILA-Supermercado	Barquisimeto	Venezuela	16-Aug-96	
10284	Schoggi Schokolade	Confections	35,1	15	526,5	Lehmanns Marktstand	Frankfurt a.M.	Germany	19-Aug-96	
10284	Gula Malacca	Condiments	15,5	21	325,5	Lehmanns Marktstand	Frankfurt a.M.	Germany	19-Aug-96	
10284	Camembert Pierrot	Dairy Products	27,2	20	544	Lehmanns Marktstand	Frankfurt a.M.	Germany	19-Aug-96	
10284	Laughing Lumberjack Lager	Beverages	11,2	5	56	Lehmanns Marktstand	Frankfurt a.M.	Germany	19-Aug-96	
10285	Perth Pasties	Meat/Poultry	26,2	36	943,2	QUICK-Stop	Cunewalde	Germany	20-Aug-96	
10285	Boston Crab Meat	Seafood	14,7	40	588	QUICK-Stop	Cunewalde	Germany	20-Aug-96	
10285	Chai	Meat/Poultry	14,4	45	648	QUICK-Stop	Cunewalde	Germany	20-Aug-96	
10286	Steeleye Stout	Beverages	14,4	100	1440	QUICK-Stop	Cunewalde	Germany	21-Aug-96	
10286	Tarte au sucre	Confections	39,4	40	1576	QUICK-Stop	Cunewalde	Germany	21-Aug-96	
10287	Sasquatch Ale	Beverages	11,2	20	224	Ricardo Adocicados	Rio de Janeiro	Brazil	22-Aug-96	
10287	Spegesild	Seafood	9,6	15	144	Ricardo Adocicados	Rio de Janeiro	Brazil	22-Aug-96	
10287	Pavlova	Confections	13,9	40	556	Ricardo Adocicados	Rio de Janeiro	Brazil	22-Aug-96	
10288	Tourtière	Meat/Poultry	5,9	10	59	Reggiani Caseifici	Reggio Emilia	Italy	23-Aug-96	
10288	Scottish Longbreads	Confections	10	3	30	Reggiani Caseifici	Reggio Emilia	Italy	23-Aug-96	
10289	Wimmers gute Semmelknödel	Grains/Cereals	26,6	9	239,4	B's Beverages	London	UK	26-Aug-96	
10289	Aniseed Syrup	Condiments	8	30	240	B's Beverages	London	UK	26-Aug-96	
10290	Chef Anton's Gumbo Mix	Produce	17	20	340	Comércio Mineiro	Sao Paulo	Brazil	27-Aug-96	
10290	Maxilaku	Confections	16	15	240	Comércio Mineiro	Sao Paulo	Brazil	27-Aug-96	
10290	Thüringer Rostbratwurst	Meat/Poultry	99	15	1485	Comércio Mineiro	Sao Paulo	Brazil	27-Aug-96	
10290	Original Frankfurter grüne Soße	Condiments	10,4	10	104	Comércio Mineiro	Sao Paulo	Brazil	27-Aug-96	
10291	Manjimup Dried Apples	Produce	42,4	2	84,8	Que Delícia	Rio de Janeiro	Brazil	27-Aug-96	
10291	Gula Malacca	Condiments	15,5	24	372	Que Delícia	Rio de Janeiro	Brazil	27-Aug-96	
10291	Konbu	Seafood	4,8	20	96	Que Delícia	Rio de Janeiro	Brazil	27-Aug-96	
10292	Sir Rodney's Marmalade	Confections	64,8	20	1296	Tradição Hipermercados	Sao Paulo	Brazil	28-Aug-96	
10293	Carnarvon Tigers	Beverages	50	12	600	Tortuga Restaurante	México D.F.	Mexico	29-Aug-96	
10293	Guaraná Fantástica	Beverages	3,6	10	36	Tortuga Restaurante	México D.F.	Mexico	29-Aug-96	
10293	Vegie-spread	Condiments	35,1	5	175,5	Tortuga Restaurante	México D.F.	Mexico	29-Aug-96	
10293	Rhönbräu Klosterbier	Beverages	6,2	6	37,2	Tortuga Restaurante	México D.F.	Mexico	29-Aug-96	
10294	Camembert Pierrot	Dairy Products	27,2	21	571,2	Rattlesnake Canyon Grocery	Albuquerque	USA	30-Aug-96	
10294	Alice Mutton	Meat/Poultry	31,2	15	468	Rattlesnake Canyon Grocery	Albuquerque	USA	30-Aug-96	
10294	Chai	Meat/Poultry	14,4	18	259,2	Rattlesnake Canyon Grocery	Albuquerque	USA	30-Aug-96	
10294	Ipoh Coffee	Beverages	36,8	15	552	Rattlesnake Canyon Grocery	Albuquerque	USA	30-Aug-96	
10294	Rhönbräu Klosterbier	Beverages	6,2	6	37,2	Rattlesnake Canyon Grocery	Albuquerque	USA	30-Aug-96	
10295	Gnocchi di nonna Alice	Grains/Cereals	30,4	4	121,6	Vins et alcools Chevalier	Reims	France	2-Sep-96	
10296	Gudbrandsdalsost	Dairy Products	28,8	15	432	LILA-Supermercado	Barquisimeto	Venezuela	3-Sep-96	
10296	Queso Cabrales	Dairy Products	16,8	12	201,6	LILA-Supermercado	Barquisimeto	Venezuela	3-Sep-96	
10296	Pavlova	Confections	13,9	30	417	LILA-Supermercado	Barquisimeto	Venezuela	3-Sep-96	
10297	Chartreuse verte	Beverages	14,4	60	864	Blondesddsl père et fils	Strasbourg	France	4-Sep-96	
10297	Mozzarella di Giovanni	Dairy Products	27,8	20	556	Blondesddsl père et fils	Strasbourg	France	4-Sep-96	
10298	Inlagd Sill	Seafood	15,2	40	608	Hungry Owl All-Night Grocers	Cork	Ireland	5-Sep-96	
10298	Chang	Beverages	15,2	40	608	Hungry Owl All-Night Grocers	Cork	Ireland	5-Sep-96	
10298	Raclette Courdavault	Dairy Products	44	30	1320	Hungry Owl All-Night Grocers	Cork	Ireland	5-Sep-96	
10298	Tarte au sucre	Confections	39,4	15	591	Hungry Owl All-Night Grocers	Cork	Ireland	5-Sep-96	
10299	Outback Lager	Beverages	12	20	240	Ricardo Adocicados	Rio de Janeiro	Brazil	6-Sep-96	
10299	Teatime Chocolate Biscuits	Confections	7,3	15	109,5	Ricardo Adocicados	Rio de Janeiro	Brazil	6-Sep-96	
10300	Louisiana Hot Spiced Okra	Condiments	13,6	30	408	Magazzini Alimentari Riuniti	Bergamo	Italy	9-Sep-96	
10300	Scottish Longbreads	Confections	10	20	200	Magazzini Alimentari Riuniti	Bergamo	Italy	9-Sep-96	
10301	Gnocchi di nonna Alice	Grains/Cereals	30,4	20	608	Die Wandernde Kuh	Stuttgart	Germany	9-Sep-96	
10301	Boston Crab Meat	Seafood	14,7	10	147	Die Wandernde Kuh	Stuttgart	Germany	9-Sep-96	
10302	Ipoh Coffee	Beverages	36,8	12	441,6	Suprêmes délices	Charleroi	Belgium	10-Sep-96	
10302	Rössle Sauerkraut	Produce	36,4	28	1019,2	Suprêmes délices	Charleroi	Belgium	10-Sep-96	
10302	Alice Mutton	Meat/Poultry	31,2	40	1248	Suprêmes délices	Charleroi	Belgium	10-Sep-96	
10303	Boston Crab Meat	Seafood	14,7	40	588	Godos Cocina Típica	Sevilla	Spain	11-Sep-96	
10303	Scottish Longbreads	Confections	10	15	150	Godos Cocina Típica	Sevilla	Spain	11-Sep-96	
10303	Louisiana Fiery Hot Pepper Sauce	Condiments	16,8	30	504	Godos Cocina Típica	Sevilla	Spain	11-Sep-96	
10304	Flotemysost	Dairy Products	17,2	2	34,4	Tortuga Restaurante	México D.F.	Mexico	12-Sep-96	
10304	Raclette Courdavault	Dairy Products	44	10	440	Tortuga Restaurante	México D.F.	Mexico	12-Sep-96	
10304	Maxilaku	Confections	16	30	480	Tortuga Restaurante	México D.F.	Mexico	12-Sep-96	
10305	Chartreuse verte	Beverages	14,4	30	432	Old World Delicatessen	Anchorage	USA	13-Sep-96	
10305	Thüringer Rostbratwurst	Meat/Poultry	99	25	2475	Old World Delicatessen	Anchorage	USA	13-Sep-96	
10305	Carnarvon Tigers	Beverages	50	25	1250	Old World Delicatessen	Anchorage	USA	13-Sep-96	
10306	Nord-Ost Matjeshering	Seafood	20,7	10	207	Romero y tomillo	Madrid	Spain	16-Sep-96	
10306	Perth Pasties	Meat/Poultry	26,2	10	262	Romero y tomillo	Madrid	Spain	16-Sep-96	
10306	Tourtière	Meat/Poultry	5,9	5	29,5	Romero y tomillo	Madrid	Spain	16-Sep-96	
10307	Tarte au sucre	Confections	39,4	10	394	Lonesome Pine Restaurant	Portland	USA	17-Sep-96	
10307	Scottish Longbreads	Confections	10	3	30	Lonesome Pine Restaurant	Portland	USA	17-Sep-96	
10308	Gudbrandsdalsost	Dairy Products	28,8	1	28,8	Ana Trujillo Emparedados y helados	México D.F.	Mexico	18-Sep-96	
10308	Outback Lager	Beverages	12	5	60	Ana Trujillo Emparedados y helados	México D.F.	Mexico	18-Sep-96	
10309	Flotemysost	Dairy Products	17,2	3	51,6	Hungry Owl All-Night Grocers	Cork	Ireland	19-Sep-96	
10309	Singaporean Hokkien Fried Mee	Grains/Cereals	11,2	2	22,4	Hungry Owl All-Night Grocers	Cork	Ireland	19-Sep-96	
10309	Ipoh Coffee	Beverages	36,8	20	736	Hungry Owl All-Night Grocers	Cork	Ireland	19-Sep-96	
10309	Chef Anton's Cajun Seasoning	Seafood	17,6	20	352	Hungry Owl All-Night Grocers	Cork	Ireland	19-Sep-96	
10309	Grandma's Boysenberry Spread	Condiments	20	30	600	Hungry Owl All-Night Grocers	Cork	Ireland	19-Sep-96	
10310	Pavlova	Confections	13,9	10	139	The Big Cheese	Portland	USA	20-Sep-96	
10310	Tarte au sucre	Confections	39,4	5	197	The Big Cheese	Portland	USA	20-Sep-96	
10311	Gudbrandsdalsost	Dairy Products	28,8	7	201,6	Du monde entier	Nantes	France	20-Sep-96	
10311	Singaporean Hokkien Fried Mee	Grains/Cereals	11,2	6	67,2	Du monde entier	Nantes	France	20-Sep-96	
10312	Ipoh Coffee	Beverages	36,8	24	883,2	Die Wandernde Kuh	Stuttgart	Germany	23-Sep-96	
10312	Rössle Sauerkraut	Produce	36,4	4	145,6	Die Wandernde Kuh	Stuttgart	Germany	23-Sep-96	
10312	Perth Pasties	Meat/Poultry	26,2	20	524	Die Wandernde Kuh	Stuttgart	Germany	23-Sep-96	
10312	Rhönbräu Klosterbier	Beverages	6,2	10	62	Die Wandernde Kuh	Stuttgart	Germany	23-Sep-96	
10313	Inlagd Sill	Seafood	15,2	12	182,4	QUICK-Stop	Cunewalde	Germany	24-Sep-96	
10314	Mascarpone Fabioli	Dairy Products	25,6	40	1024	Rattlesnake Canyon Grocery	Albuquerque	USA	25-Sep-96	
10314	Tarte au sucre	Confections	39,4	25	985	Rattlesnake Canyon Grocery	Albuquerque	USA	25-Sep-96	
10314	Escargots de Bourgogne	Seafood	10,6	30	318	Rattlesnake Canyon Grocery	Albuquerque	USA	25-Sep-96	
10315	Outback Lager	Beverages	12	30	360	Island Trading	Cowes	UK	26-Sep-96	
10315	Sasquatch Ale	Beverages	11,2	14	156,8	Island Trading	Cowes	UK	26-Sep-96	
10316	Jack's New England Clam Chowder	Seafood	7,7	10	77	Rattlesnake Canyon Grocery	Albuquerque	USA	27-Sep-96	
10316	Tarte au sucre	Confections	39,4	70	2758	Rattlesnake Canyon Grocery	Albuquerque	USA	27-Sep-96	
10317	Chai	Meat/Poultry	14,4	20	288	Lonesome Pine Restaurant	Portland	USA	30-Sep-96	
10318	Jack's New England Clam Chowder	Seafood	7,7	20	154	Island Trading	Cowes	UK	1-Oct-96	
10318	Lakkalikööri	Beverages	14,4	6	86,4	Island Trading	Cowes	UK	1-Oct-96	
10319	Rössle Sauerkraut	Produce	36,4	14	509,6	Tortuga Restaurante	México D.F.	Mexico	2-Oct-96	
10319	Alice Mutton	Meat/Poultry	31,2	8	249,6	Tortuga Restaurante	México D.F.	Mexico	2-Oct-96	
10319	Lakkalikööri	Beverages	14,4	30	432	Tortuga Restaurante	México D.F.	Mexico	2-Oct-96	
10320	Flotemysost	Dairy Products	17,2	30	516	Wartian Herkku	Oulu	Finland	3-Oct-96	
10321	Steeleye Stout	Beverages	14,4	10	144	Island Trading	Cowes	UK	3-Oct-96	
10322	Filo Mix	Grains/Cereals	5,6	20	112	Pericles Comidas clásicas	México D.F.	Mexico	4-Oct-96	
10323	Chartreuse verte	Beverages	14,4	4	57,6	Königlich Essen	Brandenburg	Germany	7-Oct-96	
10323	NuNuCa Nuß-Nougat-Creme	Confections	11,2	4	44,8	Königlich Essen	Brandenburg	Germany	7-Oct-96	
10323	Genen Shouyu	Condiments	12,4	5	62	Königlich Essen	Brandenburg	Germany	7-Oct-96	
10324	Pavlova	Confections	13,9	21	291,9	Save-a-lot Markets	Boise	USA	8-Oct-96	
10324	Spegesild	Seafood	9,6	30	288	Save-a-lot Markets	Boise	USA	8-Oct-96	
10324	Steeleye Stout	Beverages	14,4	70	1008	Save-a-lot Markets	Boise	USA	8-Oct-96	
10324	Vegie-spread	Condiments	35,1	80	2808	Save-a-lot Markets	Boise	USA	8-Oct-96	
10324	Raclette Courdavault	Dairy Products	44	40	1760	Save-a-lot Markets	Boise	USA	8-Oct-96	
10325	Gorgonzola Telino	Dairy Products	10	4	40	Königlich Essen	Brandenburg	Germany	9-Oct-96	
10325	Tofu	Produce	18,6	9	167,4	Königlich Essen	Brandenburg	Germany	9-Oct-96	
10325	Konbu	Seafood	4,8	12	57,6	Königlich Essen	Brandenburg	Germany	9-Oct-96	
10325	Grandma's Boysenberry Spread	Condiments	20	6	120	Königlich Essen	Brandenburg	Germany	9-Oct-96	
10325	Mozzarella di Giovanni	Dairy Products	27,8	40	1112	Königlich Essen	Brandenburg	Germany	9-Oct-96	
10326	Chef Anton's Cajun Seasoning	Seafood	17,6	24	422,4	Bólido Comidas preparadas	Madrid	Spain	10-Oct-96	
10326	Ravioli Angelo	Grains/Cereals	15,6	16	249,6	Bólido Comidas preparadas	Madrid	Spain	10-Oct-96	
10326	Rhönbräu Klosterbier	Beverages	6,2	50	310	Bólido Comidas preparadas	Madrid	Spain	10-Oct-96	
10327	Escargots de Bourgogne	Seafood	10,6	30	318	Folk och fä HB	Bräcke	Sweden	11-Oct-96	
10327	Chang	Beverages	15,2	25	380	Folk och fä HB	Bräcke	Sweden	11-Oct-96	
10327	Queso Cabrales	Dairy Products	16,8	50	840	Folk och fä HB	Bräcke	Sweden	11-Oct-96	
10327	Nord-Ost Matjeshering	Seafood	20,7	35	724,5	Folk och fä HB	Bräcke	Sweden	11-Oct-96	
10328	Raclette Courdavault	Dairy Products	44	9	396	Furia Bacalhau e Frutos do Mar	Lisboa	Portugal	14-Oct-96	
10328	Louisiana Fiery Hot Pepper Sauce	Condiments	16,8	40	672	Furia Bacalhau e Frutos do Mar	Lisboa	Portugal	14-Oct-96	
10328	Scottish Longbreads	Confections	10	10	100	Furia Bacalhau e Frutos do Mar	Lisboa	Portugal	14-Oct-96	
10329	Gnocchi di nonna Alice	Grains/Cereals	30,4	12	364,8	Split Rail Beer & Ale	Lander	USA	15-Oct-96	
10329	Nord-Ost Matjeshering	Seafood	20,7	8	165,6	Split Rail Beer & Ale	Lander	USA	15-Oct-96	
10329	Côte de Blaye	Beverages	210,8	20	4216	Split Rail Beer & Ale	Lander	USA	15-Oct-96	
10329	Teatime Chocolate Biscuits	Confections	7,3	10	73	Split Rail Beer & Ale	Lander	USA	15-Oct-96	
10330	Gumbär Gummibärchen	Confections	24,9	50	1245	LILA-Supermercado	Barquisimeto	Venezuela	16-Oct-96	
10330	Mozzarella di Giovanni	Dairy Products	27,8	25	695	LILA-Supermercado	Barquisimeto	Venezuela	16-Oct-96	
10331	Tourtière	Meat/Poultry	5,9	15	88,5	Bon app'	Marseille	France	16-Oct-96	
10332	Carnarvon Tigers	Beverages	50	40	2000	Mère Paillarde	Montréal	Canada	17-Oct-96	
10332	Zaanse koeken	Confections	7,6	16	121,6	Mère Paillarde	Montréal	Canada	17-Oct-96	
10332	Singaporean Hokkien Fried Mee	Grains/Cereals	11,2	10	112	Mère Paillarde	Montréal	Canada	17-Oct-96	
10333	Sir Rodney's Scones	Confections	8	10	80	Wartian Herkku	Oulu	Finland	18-Oct-96	
10333	Tofu	Produce	18,6	10	186	Wartian Herkku	Oulu	Finland	18-Oct-96	
10333	Flotemysost	Dairy Products	17,2	40	688	Wartian Herkku	Oulu	Finland	18-Oct-96	
10334	Scottish Longbreads	Confections	10	10	100	Victuailles en stock	Lyon	France	21-Oct-96	
10334	Filo Mix	Grains/Cereals	5,6	8	44,8	Victuailles en stock	Lyon	France	21-Oct-96	
10335	Manjimup Dried Apples	Produce	42,4	48	2035,2	Hungry Owl All-Night Grocers	Cork	Ireland	22-Oct-96	
10335	Mascarpone Fabioli	Dairy Products	25,6	6	153,6	Hungry Owl All-Night Grocers	Cork	Ireland	22-Oct-96	
10335	Gorgonzola Telino	Dairy Products	10	25	250	Hungry Owl All-Night Grocers	Cork	Ireland	22-Oct-96	
10335	Chang	Beverages	15,2	7	106,4	Hungry Owl All-Night Grocers	Cork	Ireland	22-Oct-96	
10336	Chef Anton's Cajun Seasoning	Seafood	17,6	18	316,8	Princesa Isabel Vinhos	Lisboa	Portugal	23-Oct-96	
10337	Gumbär Gummibärchen	Confections	24,9	24	597,6	Frankenversand	München	Germany	24-Oct-96	
10337	Tunnbröd	Grains/Cereals	7,2	40	288	Frankenversand	München	Germany	24-Oct-96	
10337	Inlagd Sill	Seafood	15,2	20	304	Frankenversand	München	Germany	24-Oct-96	
10337	Gravad lax	Seafood	20,8	28	582,4	Frankenversand	München	Germany	24-Oct-96	
10337	Mozzarella di Giovanni	Dairy Products	27,8	25	695	Frankenversand	München	Germany	24-Oct-96	
10338	Nord-Ost Matjeshering	Seafood	20,7	15	310,5	Old World Delicatessen	Anchorage	USA	25-Oct-96	
